Unnamed: 0,Hospital,Location,Cordinates,Latitude,Longitude,Care system,Type,Beds,address,phone,rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website,services,payment,cleaned services
84,Holy Innocents Children's Hospital,"Mbarara, Mbarara District, Western Region, Uganda",00°37′23″S 30°38′50″E / 0.62306°S 30.64722°E,-0.62306,30.64722,"Private, Non-profit",Pediatric Hospital,100,,,,,,,,,,,http://www.holyinnocentsuganda.com/,"We’re a non-political, non-sectarian, faith-based organization which has built the first dedicated children’s hospital in Uganda to give children the opportunity to survive and thrive, so they can participate in the growth and development of their beautiful country.",,Children hospital
85,Ishaka Adventist Hospital,,,,,,,,"P.O.Box 111 Ntungamo - Katunguru Rd, Ishaka, Uganda",039 2175927,3.6,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://iah.co.ug/,"Ishaka Adventist Hospital has capacity of 120 beds. It primarily serves the poor from te rural districts of Bushenyi, Sheema, Rubirizi, Mitooma, Buhweju, Kasese and Ntungamo.[4] The hospital, which began offering patient services in 1950, has the following departments: 1. Male Ward 2. Female Ward 3. Maternity Ward 4. Maternal & Child Health Services 5. Radiology Services 6. Dental Care Services 7. Lifestyle and Wellness Centre 8. Laboratory Services 9. Chaplaincy Department and 10. HIV Clinic.[4]",,"Male Ward, Female Ward, Maternity Ward, Maternal ,Child Health Services, Radiology Services, Dental Care Services, Lifestyle and Wellness , Laboratory Services, Chaplaincy Department, HIV Clinic"
86,Kagando Hospital,"Kagando, Kasese District, Western Region, Uganda",00°03′47″N 29°53′53″E / 0.06306°N 29.89806°E,0.063056,29.89806,Private,General,250,"Off Fort Portal-Mpondwe Road/Privatebag Fort Portal-Mpondwe Rd, Kasese, Uganda",0772 425150,3.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"The hospital has 250 beds and averages about 20,000 annual outpatient visits and about 18,000 annual inpatient admissions. The professional staff includes: 2 surgeons, 2 physicians, one anesthesiologist, one physiotherapist and a number of nurses and midwives.",,"Surgeons, Physicians, Anesthesiologist, Physiotherapist, Nurses, Midwives"
87,Kalongo Hospital,"Kalongo, Agago District, Northern Region, Uganda",03°02′41″N 33°22′21″E / 3.04472°N 33.37250°E,3.044722,33.3725,Private,Community,350,,,4,,,,,,,,,,,
88,Kamuli Mission Hospital,"Kamuli, Kamuli District, Eastern Region, Uganda",00°55′55″N 33°07′46″E / 0.93194°N 33.12944°E,0.931944,33.12944,Private,Community,160,,,,,,,,,,,,,,
89,Kilembe Mines Hospital,"Kilembe, Kasese District, Western Region, Uganda",00°12′14″N 30°00′37″E / 0.20389°N 30.01028°E,0.203889,30.01028,Community Hospital,General,200,,,,,,,,,,,,,,
90,Kisiizi Hospital,"Kisiizi, Rukungiri District, Uganda",00°59′45″S 29°57′44″E / 0.99583°S 29.96222°E,-0.99583,29.96222,Community hospital,General and specialist,260,"Republic road, Rukungiri, Uganda",,4.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
91,Kisubi Hospital,"Kisubi, Wakiso District, Central Region, Uganda",00°07′20″N 32°32′13″E / 0.12222°N 32.53694°E,0.122222,32.53694,Private,Community,110,"Nkima Road, Kisubi Entebbe, Kisubi, Uganda",0700 541667,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
92,Kitojo Hospital,"Kijojo, Rwaihamba Town Council, Kabarole District, Western Region, Uganda",,,,Private,General,40,"Plot 14 Akii Bua Rd, Kampala, Uganda",0800 200035,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
93,Kitovu Hospital,"Kitovu, Masaka District, Central Region, Uganda",00°20′36″S 31°45′28″E / 0.34333°S 31.75778°E,-0.34333,31.75778,Private,Community,250,"P.O.Box 413, Masaka, Uganda",041 4285481,4.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
94,Kiwoko Hospital,"Kiwoko, Nakaseke District, Central Region, Uganda",00°50′23″N 32°21′40″E / 0.83972°N 32.36111°E,0.839722,32.36111,Private,Community hospital,250,"R9Q6+RM2, Kiwoko, Uganda",039 2904505,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
95,Kuluva Hospital,"Arua, Arua District, Northern Region, Uganda",02°56′48″N 30°55′57″E / 2.94667°N 30.93250°E,2.946667,30.9325,Private,General,200,"WWWM+84C, Kuluva, Uganda",0476 421102,4.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
96,Lacor Hospital,"Gulu, Gulu District, Northern Region, Uganda",02°46′03″N 32°15′11″E / 2.76750°N 32.25306°E,2.7675,32.25306,Private,"General, Teaching",483,"Q69X+PJF, Gulu, Uganda",0471 432310,4.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
97,Lubaga Hospital,"Lubaga Hill, Kampala, Central Region, Uganda",00°18′15″N 32°33′10″E / 0.30417°N 32.55278°E,0.304167,32.55278,"Private, Not for profit",Community,275,"8H32+FXH, Mutesa Rd, Kampala, Uganda",0204 234800,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
98,Lwala Hospital Kaberamaido,"Lwala Village, Kaberamaido District Eastern Region, Uganda",01°51′33″N 33°16′42″E / 1.85917°N 33.27833°E,1.859167,33.27833,,Community,100,"V75H+M9M, Lwala, Uganda",0782 869227,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
99,Makerere University Hospital,"Makerere Hill, Kampala District, Central Region, Uganda",00°19′40″N 32°34′15″E / 0.32778°N 32.57083°E,0.327778,32.57083,Private,Community,32,"Gadafi Rd, Kampala, Uganda",041 4542922,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
100,Matany Hospital,"Matany, Moroto, Moroto District, Uganda",02°26′40″N 34°23′42″E / 2.44444°N 34.39500°E,2.444444,34.395,Private,Community,226,"Moroto Diocese, Karamoja/c/o Comboni Missionaries, Box 3872, Kampala, Matany, Uganda",041 4221001,4.5,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
101,Mayanja Memorial Hospital,"Mbarara, Mbarara District,, Western Region, Uganda",00°36′57″S 30°39′41″E / 0.61583°S 30.66139°E,-0.61583,30.66139,"Private, Non Profit Hospital",General,100,,,5,,,,,,,,,,,
102,Mengo Hospital,"Namirembe Hill, Kampala, Central Region, Uganda",00°18′46″N 32°33′30″E / 0.31278°N 32.55833°E,0.312778,32.55833,"Private, non-profit",Community hospital,300,,,4.1,,,,,,,,,,,
103,Mutolere Hospital,"Mutolere, Kisoro District, Western Region, Uganda",01°15′45″S 29°43′12″E / 1.26250°S 29.72000°E,-1.2625,29.72,Private,Community,220,"hospital canteen, Mutolere, Uganda",0782 017760,4.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
104,Naggalama Hospital,"Naggalama, Mukono District, Central Region, Uganda",00°31′30″N 32°46′57″E / 0.52500°N 32.78250°E,0.525,32.7825,"Private, Non-profit","General, Community",100,"Naggalama/Box 22004, Uganda",039 2702709,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
105,Ngora Hospital,"Ngora, Ngora District, Eastern Region, Uganda",01°28′42″N 33°47′35″E / 1.47833°N 33.79306°E,1.478333,33.79306,Community Hospital,General,180,"Mukura, Road, Uganda",0772 520991,4.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
106,Nkokonjeru Hospital,"Nkokonjeru, Buikwe District, Central Region, Uganda",00°13′39″N 32°55′39″E / 0.22750°N 32.92750°E,0.2275,32.9275,Private,Community,60,,,5,,,,,,,,,,,
107,Nkozi Hospital,"Nkozi, Mpigi District, Central Region, Uganda",00°00′09″N 32°00′59″E / 0.00250°N 32.01639°E,0.0025,32.01639,,Community,91,"2227+WGP Opposite Uganda Martyrs University, Nkozi, Uganda",0789 661917,4.5,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
108,Nsambya Hospital,"Nsambya, Kampala, Central Region, Uganda",00°18′06″N 32°35′06″E / 0.30167°N 32.58500°E,0.301667,32.585,"Private, Non-profit",General and Teaching,540+,"Nsambya Road, Hill/ Box 7146, Kampala, Uganda",041 4267012,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
109,Nyenga Mission Hospital,"Nyenga, Buikwe District, Central Region, Uganda",00°23′02″N 33°09′08″E / 0.38389°N 33.15222°E,0.383889,33.15222,Community hospital,General,75,,,,,,,,,,,,,,
110,Ruharo Mission Hospital,"Ruharo, Mbarara, Mbarara District, Uganda",00°36′46″S 30°37′52″E / 0.61278°S 30.63111°E,-0.61278,30.63111,Community hospital,General and specialist,100,"Mbarara Bushenyi Road, Ruharo Rd, Kampala, Uganda",039 3248462,4.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
111,Rushere Community Hospital,"Rushere, Kiruhura District, Western Region, Uganda",00°12′35″S 30°56′53″E / 0.20972°S 30.94806°E,-0.20972,30.94806,Community Hospital,General,102 (2020),,,4.4,,,,,,,,,,,
112,St. Charles Lwanga Buikwe Hospital,"Buikwe, Buikwe District, Central Region, Uganda",00°20′21″N 33°01′56″E / 0.33917°N 33.03222°E,0.339167,33.03222,Community Hospital,General,80,,,5,,,,,,,,,,,
113,St. Francis Hospital Nkokonjeru,"Nkokonjeru, Buikwe District, Central Region, Uganda",00°13′39″N 32°55′39″E / 0.22750°N 32.92750°E,0.2275,32.9275,Private,Community,60,,,5,,,,,,,,,,,
114,St. Joseph's Hospital Kitgum,"Kitgum, Kitgum District, Northern Region, Uganda",03°18′10″N 32°53′32″E / 3.30278°N 32.89222°E,3.302778,32.89222,Private,Community,280[1],"Kitgum/Box 31, Kitgum, Uganda",0471 439284,4.5,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
115,Villa Maria Hospital,"Villa Maria, Kalungu District, Central Region, Uganda",00°13′50″S 31°44′35″E / 0.23056°S 31.74306°E,-0.23056,31.74306,Private,Community,126,,,5,,,,,,,,,,,
116,Virika Hospital,"Fort Portal, Kabarole District, Western Region, Uganda",00°38′16″N 30°16′06″E / 0.63778°N 30.26833°E,0.637778,30.26833,Private,Community,207 (2019),"J7Q9+67F, Fort Portal, Uganda",039 2883165,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
117,Restoration Gateway Hospital,"Karuma Township, Kiryandongo District, Western Region, Uganda",02°13′25″N 32°17′15″E / 2.22361°N 32.28750°E,2.223611,32.2875,"Private, Missionary",General and Teaching,180,"67FP+FWP, Uganda",,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
123,International Specialized Hospital of Uganda,"Lubowa, Wakiso District, Central Region, Uganda",00°14′45″N 32°33′40″E / 0.24583°N 32.56111°E,0.245833,32.56111,Public,"Referral, Research and Teaching",264,,,3.8,,,,,,,,,,,
124,Case Medical Centre,"67 - 71 Buganda Road Central Division, Kampala, Central Region, Uganda",,,,Private,General,80+,"69, 8HFG+R24, 71 Buganda Rd, Kampala, Uganda",0800 211005,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
125,International Hospital Kampala,"Namuwongo, Kampala, Makindye Division, Central Region",00°18′19″N 32°36′40″E / 0.30528°N 32.61111°E,0.305278,32.61111,Private,General and teaching,100,,,3.8,,,,,,,,,,,
128,Nile International Hospital,,,,,,,,"Scott Road, Plot 2, 16 Walukuba-Masese Rd, Jinja, Uganda",0709 996699,4.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
129,Kampala Hospital,"6C Makindu Close, Kololo, Kampala, Central Region, Uganda",00°19′59″N 32°35′04″E / 0.33306°N 32.58444°E,0.333056,32.58444,Private,General,100,,,4,,,,,,,,,,,
133,Kampala Medical Chambers Hospital,"73 Buganda Road, Kampala, Central Region, Uganda",00°19′02″N 32°34′36″E / 0.31722°N 32.57667°E,0.317222,32.57667,Private,General,,,,4.5,,,,,,,,,,,
134,Kibuli Hospital,"Mbogo Road, Kibuli Hill, Kampala City, Central Region, Uganda",00°18′33″N 32°35′43″E / 0.30917°N 32.59528°E,0.309167,32.59528,"Private, Non-profit",General & Teaching,200[1],"Off Prince Badru Kakungulu Road/P.O.Box 24548 Prince Badru Kakungulu Rd, Kampala, Uganda",041 4236476,4.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
136,Nakasero Hospital,"Nakasero, Central Division, Kampala, Central Region, Uganda",00°19′37″N 32°34′46″E / 0.32694°N 32.57944°E,0.326944,32.57944,"Private, For-profit",General,80+,"Plot 14 Akii Bua Rd, Kampala, Uganda",0800 200035,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
141,Paragon Hospital,"Bugoloobi, Nakawa Division, Kampala, Central Region, Uganda",00°18′30″N 32°37′37″E / 0.30833°N 32.62694°E,0.308333,32.62694,"Private, For Profit Hospital",General,400,"Behind the block 31 of Bugolobi flats Plot 6B/7B, Luthuli Avenue, 5th Close, Kampala, Uganda",039 3206216,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
143,Women's Hospital International and Fertility Centre,"Bukoto-Kisaasi Road, Bukoto, Kampala, Central Region, Uganda",00°21′02″N 32°35′57″E / 0.35056°N 32.59917°E,0.350556,32.59917,Private,Specialized,,"Road16233 Bukoto Kisasi Rd, Kampala, Uganda",031 2165050,4.1,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 1:00PM,Closed,,,,
152,Makerere University Teaching Hospital,"Katalemwa, Gayaza Road,, Wakiso District, Buganda Region, Uganda",00°23′04″N 32°34′44″E / 0.38444°N 32.57889°E,0.384444,32.57889,Private,General & Teaching,200[1],"Gadafi Rd, Kampala, Uganda",041 4542922,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
155,Bombo Military Hospital,"Bombo, Luweero District, Central Region, Uganda",00°35′11″N 32°32′10″E / 0.58639°N 32.53611°E,0.586389,32.53611,Public,General & Referral,250,"Bombo Stage, Bombo, Uganda",0700 197060,4.1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
156,Entebbe Military Hospital,"Entebbe, Wakiso District, Central Region, Uganda",,,,Private,General,100,,,3.6,,,,,,,,,,,
160,Mbuya Military Hospital,"Mbuya, Kampala, Central Region, Uganda",00°19′35″N 32°37′18″E / 0.32639°N 32.62167°E,0.326389,32.62167,Military,Referral,250,,,4,,,,,,,,,,,
162,Murchison Bay Hospital,"Luzira, Nakawa Division, Kampala, Central Region, Uganda",00°17′58″N 32°38′30″E / 0.29944°N 32.64167°E,0.299444,32.64167,Prison,General,,"Kampala, Uganda",041 4221168,,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,,,,
164,Nakasongola Military Hospital,"Nakasongola, Nakasongola District, Central Region, Uganda",01°23′28″N 32°29′53″E / 1.39111°N 32.49806°E,1.391111,32.49806,Public,General,,"Bombo Stage, Bombo, Uganda",0700 197060,4.1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,